village_name,created_time,nearest_health_centre
Ban Mae Pa Luang,2022-07-25 11:19:24,Ban Huay Muang School
Ban Mae Pae,2022-07-25 11:19:24,Sa La Jiang Tong
Ban Mae Pang Nae,2022-07-25 11:19:24,Ban Mae Pang Nok
Ban Mae Piang Luang,2022-07-25 11:19:24,
Ban Mae Ping,2022-07-25 11:19:24,
Ban Mae Sa Kua,2022-07-25 11:19:24,Ban Mae Tia
Ban Mae Sa Kud,2022-07-25 11:19:24,Ban Mae Tia
Ban Mae Sa Wan Luang,2022-07-25 11:19:24,Ban Mae Lid
Ban Mae Sam Leab,2022-07-25 11:19:24,
Ban Mae Sam Peng Nua,2022-07-25 11:19:24,Ban Mae Su
Ban Mae Samaeng,2022-07-25 11:19:24,Ban Kad Luang
Ban Mae Sapueng Klang,2022-07-25 11:19:24,Ban Mae Hu
Ban Mae Sapueng Tai,2022-07-25 11:19:24,
Ban Mae Satop Nua,2022-07-25 11:19:24,Ban Pang Ung
Ban Mae Saw,2022-07-25 11:19:24,Ban Mueng Pong
Ban Mae Sawan Luang,2022-07-25 11:19:24,
Ban Mae Sawan Noi,2022-07-25 11:19:24,
Ban Mae Su,2022-07-25 11:19:24,
Ban Mae Surin Noi,2022-07-25 11:19:24,Ban Paw New Khei
Ban Mae Surin Nua,2022-07-25 11:19:24,
Ban Mae Talu,2022-07-25 11:19:24,
Ban Mae Tho Klang,2022-07-25 11:19:24,In the village
Ban Mae Tho Noi,2022-07-25 11:19:24,
Ban Mae Top,2022-07-25 11:19:24,Ban Sa La Jiang Tong
Ban Mae Yod,2022-07-25 11:19:24,Ban Pang Uhg
Ban Mai Huay Wai,2022-07-25 11:19:24,
Ban Mai Poo Koo,2022-07-25 11:19:24,Khun Yuam
Ban Mai Sang Nam,2022-07-25 11:19:24,
Ban Manora,2022-07-25 11:19:24,Pang Ma Pa
Ban Muang Noi,2022-07-25 11:19:24,
Ban Muang Paem,2022-07-25 11:19:24,Ban Tham Lod
Ban Muang Pon,2022-07-25 11:19:24,
Ban Na Hua Laem,2022-07-25 11:19:24,Ban Huay Na
Ban Na Pa Pae,2022-07-25 11:19:24,Ban Sa La Jiang Tong
Ban Nae Jaa,2022-07-25 11:19:24,
Ban Nam Som,2022-07-25 11:19:24,
Ban Nangew,2022-07-25 11:19:24,
Ban Nong Mae La,2022-07-25 11:19:24,
Ban Nong Muan,2022-07-25 11:19:24,Ban Kok Luang
Ban Nong Pak Nam,2022-07-25 11:19:24,Mae Sariang
Ban Omlarn,2022-07-25 11:19:24,Ban Pakae
Ban Pa Kae Tai,2022-07-25 11:19:24,Ban Pa Kae
Ban Pa Kha,2022-07-25 11:19:24,
Ban Pa Kluay,2022-07-25 11:19:24,Ban Mae Ho
Ban Pa La Pi Nua,2022-07-25 11:19:24,Ban Pong Oong
Ban Pa La Pi Tai,2022-07-25 11:19:24,Ban Pang Dong
Ban Pa Pae Klang,2022-07-25 11:19:24,
Ban Pa Pong Scond,2022-07-25 11:19:24,Ban Huay Kung
Ban Pae,2022-07-25 11:19:24,Ban Sop Harn
Ban Pae Kha Puang,2022-07-25 11:19:24,
Ban Pahuey,2022-07-25 11:19:24,Ban Pakae
Ban Pakae Nua,2022-07-25 11:19:24,
Ban Pakhae,2022-07-25 11:19:24,
Ban Pang Oong,2022-07-25 11:19:24,
Ban Pang Tong Tai,2022-07-25 11:19:24,Ban Pang Tong
Ban Paw Naw Khee,2022-07-25 11:19:24,
Ban Paw Ta Law Khee,2022-07-25 11:19:24,Ban Khun Mae Hu
Ban Mae Jaw,2022-07-25 05:36:37,
Ban Mae Ookhor Luang,2022-07-25 05:43:47,Ban Huay Pong
Ban Huay Phueng,2022-07-25 07:10:57,
Ban Pha Aeh Doo,2022-07-25 11:19:26,Mae La Noi
Ban Pha Daeng Luang,2022-07-25 11:19:26,Ban Mae To
Ban Pha La Pi,2022-07-25 11:19:26,Ban Pang Ung
Ban Pha Tho,2022-07-25 11:19:26,Ban Mae Ki
Ban Pha Wai,2022-07-25 11:19:26,
Ban Pha Wai Klang,2022-07-25 11:19:26,
Ban Piang Luang,2022-07-25 11:19:26,Ban Mae Ki
Ban Po No Khee,2022-07-25 11:19:26,
Ban Prabart Huay Phueng,2022-07-25 11:19:26,Ban Mae Hu
Ban Rak Mai Nua,2022-07-25 11:19:26,Ban Paphae
Ban Sa La Jiang Tong,2022-07-25 11:19:26,
Ban Sao Hin,2022-07-25 11:19:26,Ban Sa La Jiang Tong
Ban Siwader,2022-07-25 11:19:26,Ban Mae Sam Laep
Ban Sob Mae Sa Top,2022-07-25 11:19:26,Ban Na Hong
Ban Som Poi,2022-07-25 11:19:26,
Ban Sud Huay Na,2022-07-25 11:19:26,Ban Mae Lid Pa Kae
Ban Suk Jai,2022-07-25 11:19:26,
Ban Tha Hin Som,2022-07-25 11:19:26,
Ban Tha Song Kaew,2022-07-25 11:19:26,
Ban Thung Ma Kham Pom,2022-07-25 11:19:26,Ban Huay Mak Lang
Ban Thung Pra Pon,2022-07-25 11:19:26,Ban Pa Kae
Ban Tung Wang Kwang,2022-07-25 11:19:26,Ban Mae La Luang
Ban Wa No,2022-07-25 11:19:26,Ban Mae Jae
Ban Wa Thoo,2022-07-25 11:19:26,
Ban Yod Phai,2022-07-25 11:19:26,Ban Pang Ung
Huai Koo Pa,2022-07-25 11:19:26,
Huay Ka Pa,2022-07-25 11:19:26,
Hui Sai Leang. Mae Jam Dist,2022-07-25 11:19:26,
