village_name,created_time,nearest_mathayom_seconary_id,nearest_pratom_primary_id
Ban Mae Jaw Klang,2022-07-25 11:19:24,,
Ban Mae Jaw Nua,2022-07-25 11:19:24,,zcrm_361303000001881135
Ban Mae Jaw Tai,2022-07-25 11:19:24,,
Ban Mae Jew Saw,2022-07-25 11:19:24,,
Ban Mae Kha Nua,2022-07-25 11:19:24,zcrm_361303000001611586,zcrm_361303000001881124
Ban Mae Khae Noi,2022-07-25 11:19:24,zcrm_361303000001881176,zcrm_361303000001881137
Ban Mae Kheed Noi,2022-07-25 11:19:24,zcrm_361303000000401980,zcrm_361303000000401980
Ban Mae Kho Joo,2022-07-25 11:19:24,,
Ban Mae khor,2022-07-25 11:19:24,zcrm_361303000000461077,zcrm_361303000000528034
Ban Maw Ko Jaw,2022-07-25 11:19:24,zcrm_361303000001881170,
Ban Mae Ko Pee,2022-07-25 11:19:24,,
Ban Mae Kor,2022-07-25 11:19:24,,
Ban Mae Kwang Nua,2022-07-25 11:19:24,zcrm_361303000000522050,zcrm_361303000001881138
Ban Mae Kwang Tai,2022-07-25 11:19:24,zcrm_361303000000528038,
Ban Mae La,2022-07-25 11:19:24,,
Ban Mae La Ka,2022-07-25 11:19:24,,zcrm_361303000001881139
Ban Mae Lamong Nua,2022-07-25 11:19:24,zcrm_361303000000528038,zcrm_361303000001881141
Ban Mae Lid,2022-07-25 11:19:24,,
Ban Mae Lid -Pakae,2022-07-25 11:19:24,,zcrm_361303000001881143
Ban Mae Lit Luang,2022-07-25 11:19:24,,
Ban Mae Na Jang Tai,2022-07-25 11:19:24,,
Ban Mae Najang,2022-07-25 11:19:24,,
Ban Mae Najang Nua,2022-07-25 11:19:24,,
Ban Mae Nill Nok,2022-07-25 11:19:24,,zcrm_361303000001881145
Ban Mae Nin Nai,2022-07-25 11:19:24,zcrm_361303000000667033,zcrm_361303000001881145
Ban Mae Ookhor Noi,2022-07-25 11:19:24,,zcrm_361303000001881190
Ban Mae Ookhor Nua,2022-07-25 11:19:24,,zcrm_361303000001881167
Ban Mae Oom Pai Nua,2022-07-25 11:19:24,,
Ban Mae Oomong,2022-07-25 11:19:24,,
Ban Mae Oompai,2022-07-25 11:19:24,,
Ban Mae Oompai Nua,2022-07-25 11:19:24,,
Ban Mae Pa Luang,2022-07-25 11:19:24,zcrm_361303000001611586,zcrm_361303000001881117
Ban Mae Pae,2022-07-25 11:19:24,zcrm_361303000000704077,zcrm_361303000001881243
Ban Mae Pang Nae,2022-07-25 11:19:24,zcrm_361303000000528038,zcrm_361303000001881148
Ban Mae Piang Luang,2022-07-25 11:19:24,,zcrm_361303000000528034
Ban Mae Ping,2022-07-25 11:19:24,,
Ban Mae Sa Kua,2022-07-25 11:19:24,zcrm_361303000000528038,
Ban Mae Sa Kud,2022-07-25 11:19:24,zcrm_361303000000522050,
Ban Mae Sa Wan Luang,2022-07-25 11:19:24,zcrm_361303000000521194,
Ban Mae Sam Leab,2022-07-25 11:19:24,,
Ban Mae Sam Peng Nua,2022-07-25 11:19:24,zcrm_361303000000528038,
Ban Mae Samaeng,2022-07-25 11:19:24,,zcrm_361303000001881161
Ban Mae Sapueng Klang,2022-07-25 11:19:24,zcrm_361303000000528038,zcrm_361303000001881150
Ban Mae Sapueng Tai,2022-07-25 11:19:24,,zcrm_361303000001881150
Ban Mae Satop Nua,2022-07-25 11:19:24,,
Ban Mae Saw,2022-07-25 11:19:24,,zcrm_361303000001881156
Ban Mae Sawan Luang,2022-07-25 11:19:24,,
Ban Mae Sawan Noi,2022-07-25 11:19:24,,
Ban Mae Su,2022-07-25 11:19:24,,
Ban Mae Surin Noi,2022-07-25 11:19:24,,
Ban Mae Surin Nua,2022-07-25 11:19:24,,
Ban Mae Talu,2022-07-25 11:19:24,,
Ban Mae Tho Klang,2022-07-25 11:19:24,zcrm_361303000001881153,zcrm_361303000001881153
Ban Mae Tho Noi,2022-07-25 11:19:24,,
Ban Mae Top,2022-07-25 11:19:24,zcrm_361303000000704077,zcrm_361303000000716235
Ban Mae Yod,2022-07-25 11:19:24,zcrm_361303000001881155,zcrm_361303000001881155
Ban Mai Huay Wai,2022-07-25 11:19:24,,
Ban Mai Poo Koo,2022-07-25 11:19:24,,
Ban Mai Sang Nam,2022-07-25 11:19:24,,
Ban Manora,2022-07-25 11:19:24,,
Ban Muang Noi,2022-07-25 11:19:24,,
Ban Muang Paem,2022-07-25 11:19:24,,
Ban Muang Pon,2022-07-25 11:19:24,,
Ban Na Hua Laem,2022-07-25 11:19:24,,
Ban Na Pa Pae,2022-07-25 11:19:24,zcrm_361303000000521090,
Ban Nae Jaa,2022-07-25 11:19:24,,
Ban Nam Som,2022-07-25 11:19:24,,
Ban Nangew,2022-07-25 11:19:24,,
Ban Nong Mae La,2022-07-25 11:19:24,,
Ban Nong Muan,2022-07-25 11:19:24,,
Ban Nong Pak Nam,2022-07-25 11:19:24,,zcrm_361303000000521090
Ban Omlarn,2022-07-25 11:19:24,,zcrm_361303000001881163
Ban Pa Kae Tai,2022-07-25 11:19:24,zcrm_361303000000522050,
Ban Pa Kha,2022-07-25 11:19:24,,
Ban Pa Kluay,2022-07-25 11:19:24,zcrm_361303000000521090,zcrm_361303000001881241
Ban Pa La Pi Nua,2022-07-25 11:19:24,zcrm_361303000000667033,zcrm_361303000001881164
Ban Pa La Pi Tai,2022-07-25 11:19:24,zcrm_361303000000667033,zcrm_361303000001881164
Ban Pa Pae Klang,2022-07-25 11:19:24,,
Ban Pa Pong Scond,2022-07-25 11:19:24,zcrm_361303000000521090,zcrm_361303000001881166
Ban Pae,2022-07-25 11:19:24,,
Ban Pae Kha Puang,2022-07-25 11:19:24,,
Ban Pahuey,2022-07-25 11:19:24,,zcrm_361303000001881144
Ban Pakae Nua,2022-07-25 11:19:24,,
Ban Pakhae,2022-07-25 11:19:24,,
Ban Pang Oong,2022-07-25 11:19:24,,
Ban Pang Tong Tai,2022-07-25 11:19:24,,zcrm_361303000001881167
Ban Paw Naw Khee,2022-07-25 11:19:24,,
Ban Paw Ta Law Khee,2022-07-25 11:19:24,,
Ban Mae Jaw,2022-07-25 05:36:37,,
Ban Mae Ookhor Luang,2022-07-25 05:43:47,,
Ban Huay Phueng,2022-07-25 07:10:57,,
Ban Pha Aeh Doo,2022-07-25 11:19:26,zcrm_361303000000667033,zcrm_361303000001881171
Ban Pha Daeng Luang,2022-07-25 11:19:26,,
Ban Pha La Pi,2022-07-25 11:19:26,zcrm_361303000000667033,zcrm_361303000001881164
Ban Pha Tho,2022-07-25 11:19:26,zcrm_361303000000461077,zcrm_361303000000528033
Ban Pha Wai,2022-07-25 11:19:26,,
Ban Pha Wai Klang,2022-07-25 11:19:26,,
Ban Piang Luang,2022-07-25 11:19:26,,zcrm_361303000000528034
Ban Po No Khee,2022-07-25 11:19:26,,
Ban Prabart Huay Phueng,2022-07-25 11:19:26,zcrm_361303000000528038,zcrm_361303000001881173
Ban Rak Mai Nua,2022-07-25 11:19:26,zcrm_361303000001881168,
Ban Sa La Jiang Tong,2022-07-25 11:19:26,,
Ban Sao Hin,2022-07-25 11:19:26,zcrm_361303000000716235,
Ban Siwader,2022-07-25 11:19:26,zcrm_361303000001881176,zcrm_361303000001881176
Ban Sob Mae Sa Top,2022-07-25 11:19:26,zcrm_361303000001881240,zcrm_361303000001881145
Ban Som Poi,2022-07-25 11:19:26,,
Ban Sud Huay Na,2022-07-25 11:19:26,,
Ban Suk Jai,2022-07-25 11:19:26,,
Ban Tha Hin Som,2022-07-25 11:19:26,,
Ban Tha Song Kaew,2022-07-25 11:19:26,,
Ban Thung Ma Kham Pom,2022-07-25 11:19:26,zcrm_361303000001881249,zcrm_361303000001881249
Ban Thung Pra Pon,2022-07-25 11:19:26,zcrm_361303000000522050,zcrm_361303000001881112
Ban Tung Wang Kwang,2022-07-25 11:19:26,zcrm_361303000001881162,zcrm_361303000000716100
Ban Wa No,2022-07-25 11:19:26,zcrm_361303000000461077,
Ban Wa Thoo,2022-07-25 11:19:26,,
Ban Yod Phai,2022-07-25 11:19:26,zcrm_361303000001881155,zcrm_361303000001881155
Huai Koo Pa,2022-07-25 11:19:26,,
Huay Ka Pa,2022-07-25 11:19:26,,
Hui Sai Leang. Mae Jam Dist,2022-07-25 11:19:26,,
Khun Mae La,2022-07-25 11:19:26,,
Ko Mai Loo,2022-07-25 11:19:26,zcrm_361303000001881182,
Mae La Ka,2022-07-25 11:19:26,,zcrm_361303000001881139
Mae La Noi Duransik,2022-07-25 11:19:26,,
Mae Om Pai,2022-07-25 11:19:26,,
Mae Tho Thai,2022-07-25 11:19:26,,
Missing Village Details,2022-07-25 11:19:26,,
Paw Naw Khi,2022-07-25 11:19:26,,
Mon Ta Lang,2022-07-26 05:01:45,,
Mae Salit Luang,2022-07-26 05:03:14,,
Ban Huay Bong Tha,2022-08-04 04:57:10,,
Ban Thung Ruang Thong,2022-08-04 05:06:32,,
Ban Huay Pom Fard,2022-08-04 05:09:42,,
Ban Sob Mae Ruam,2022-08-04 05:15:09,,
Ban Ruam Mo,2022-08-04 05:17:28,,
Ban Eeh Vee Jo,2022-08-04 05:26:01,,
Ban Mae Phae Noi,2022-08-04 05:29:37,,
Ban Mae Lui Bon,2022-08-04 05:32:03,,
Ban Hua Mae La Ka,2022-08-04 05:36:53,zcrm_361303000002409206,
Ban Huay Khi Pher,2022-08-04 05:40:56,,
Wangkhan,2022-08-26 02:14:33,,
Ban Kong Sum Nua,2022-09-13 10:46:35,,
Ban Kong Sum Tai,2022-09-13 10:47:36,,
Ban Mae Nil Nok,2022-09-14 03:13:22,,
Ban Mae Nil Nok,2022-09-14 03:13:24,,
Ban Mae Ja,2022-09-27 10:00:15,zcrm_361303000000461077,zcrm_361303000000716167
Ban Mae Laep,2022-09-28 02:59:26,,
Ban Mae La Ngew,2022-11-18 11:08:57,zcrm_361303000000401954,zcrm_361303000002447347
Ban Huay Mai Dam,2023-01-19 06:24:20,zcrm_361303000001443590,zcrm_361303000001443590
Ban Thuan,2023-02-20 14:38:16,zcrm_361303000001881203,zcrm_361303000001881148
Ban Eh Vee Jo,2023-05-02 16:00:57,zcrm_361303000001881200,zcrm_361303000002929131
Ban Pha Khae,2023-05-30 09:27:01,zcrm_361303000000461077,zcrm_361303000000528033
